country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,estimated_,iso3,status,color_code,name_2,continent,region,iso_3166_1,french_sho
DEU,Germany,Deuben power station,WRI1005631,86.000000000000000,51.111899999999999,12.076200000000000,Coal,,,,1936.000000000000000,Mitteldeut Braunkohl (Mibrag),Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1022951",,,,,,,512.892162711495416,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Dingolfing,WRI1005632,15.000000000000000,48.634000000000000,12.483700000000001,Hydro,,,,1957.000000000000000,E.ON Kraftwerke GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1024985",,,,,,,38.226780581123982,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Dinkelsb�hl Solar Power Plant,WRI1030307,2.000000000000000,49.050500000000000,10.307300000000000,Solar,,,,,,Pfalzsolar GmbH,http://pfalzsolar.de,Industry About,,,,,,,,18.523680349091844,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Dittwar Solar Power Plant,WRI1030273,1.800000000000000,49.580599999999997,9.651800000000000,Solar,,,,,,Juwi Solar GmbH,http://www.juwi.com,Industry About,,,,,,,,16.671312314182661,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Dormagen,WRI1005636,586.299999999999955,51.079099999999997,6.828700000000000,Gas,,,,2000.000000000000000,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1041644",,,,,2193.385000000000218,,1494.413728881201905,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Dornau,WRI1005637,16.600000000000001,47.800199999999997,10.902600000000000,Hydro,,,,1960.000000000000000,E.ON Kraftwerke GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1010826",,,,,,,42.304303843110539,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Dortmund,WRI1005638,26.000000000000000,51.519700000000000,7.477000000000000,Gas,,,,2004.000000000000000,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,66.271118797392560,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Driedorf Solar Power Plant,WRI1030207,5.000000000000000,50.647300000000001,8.183400000000002,Solar,,,,,,SYBAC Solar GmbH,http://www.sybac-solar.de,Industry About,,,,,,,,46.309200872729605,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Duisburg Hamborn,WRI1005641,385.000000000000000,51.491000000000000,6.727500000000000,Gas,,,,1958.000000000000000,ThyssenKrupp Steel Europe AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1050044",,,,,,,981.322336038312756,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Duisburg Ruhrort,WRI1005642,315.000000000000000,51.459699999999998,6.730600000000000,Gas,,,,,ThyssenKrupp Steel Europe AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,802.900093122255953,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
